Date,Description,Original Description,Category,Amount,Status
2024-06-28,"HELIUM MOBILE                    062824","HELIUM MOBILE                    062824",Category Pending,-21.33,Pending
2024-06-28,"HELIUM MOBILE                    062824","HELIUM MOBILE                    062824",Category Pending,-1.00,Pending
2024-06-28,"PAYPAL           INST XFER  ***********USHN","PAYPAL           INST XFER  ***********USHN",Category Pending,-25.45,Pending
2024-06-27,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2160",Credit Card Payment,-1089.09,Posted
2024-06-27,"Tyler Technologies","MS.GOV MSDPS             EGOV.COM     MS",Financial,-15.84,Posted
2024-06-26,"PayPal Payments and Transfers","BLACK TREE GAMIN IAT PAYPAL ***********5474",Uncategorized,-9.51,Posted
2024-06-26,"Microsoft","MICROSOFT#G050666418     MSBILL.INFO  WA",Entertainment,-10.38,Posted
2024-06-25,"PayPal Purchase","PAYPAL           INST XFER  ***********.COM",Uncategorized,-24.83,Posted
2024-06-24,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2160",Credit Card Payment,-1447.98,Posted
2024-06-24,"Laurel Assc Insurance Premium Usti","MTN LAUREL ASSC  INS PREM   ***********usti",Financial,-93.36,Posted
2024-06-24,"Target","TARGET T- 6365 I 55 N    Jackson      MS",Shopping,-24.21,Posted
2024-06-24,"El Ranchito of Madison","EL RANCHITO OF MADISON   601-6051488  MS",Restaurants,-13.04,Posted
2024-06-24,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-4.27,Posted
2024-06-24,"Mobile Deposit","DEPOSIT@MOBILE",Income,1000.00,Posted
2024-06-21,"Rocket Money Premium","Rocket Money     Premium    ***********R6D5",Financial,-6.00,Posted
2024-06-20,"Gatlinburg","P98240                   Gatlinburg   TN",Cash,-63.50,Posted
2024-06-20,"Google Ads","GOOGLE *ADS9905845978    cc@google.comCA",Business Services,-50.00,Posted
2024-06-20,"Microsoft","MICROSOFT*PC 1 MONTH     MSBILL.INFO  WA",Entertainment,-10.69,Posted
2024-06-20,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2024-06-20,"Easi Payroll","EASI             PAYROLL    ***********0085",Paycheck,1995.54,Posted
2024-06-18,"Cades Cove Store Bikes","CADES COVE STORE/BIKES   TOWNSEND     TN",Restaurants,-16.75,Posted
2024-06-18,"Gatlinburg Visitor Cent","GATLINBURG VISITOR CENT  GATLINBURG   TN",Shopping,-15.00,Posted
2024-06-17,"Interest Paid","INTEREST PAID",Interest Income,0.10,Posted
2024-06-17,"Transfer to Venmo","VENMO            PAYMENT    ***********1095",Transfer,-94.00,Posted
2024-06-17,"Club Fitridgelan","CLUB4FITRIDGELAN 8019815328 ***********7287",Transfer,-49.99,Posted
2024-06-17,"Club Fitridgelan","CLUB4FITRIDGELAN 8019815328 ***********4465",Home Services,-25.99,Posted
2024-06-17,"Walmart","WAL-MART #0578           SEVIERVILLE  TN",Shopping,-131.78,Posted
2024-06-17,"Knoxville Zoo","KNOXVILLE ZOO            KNOXVILLE    TN",Entertainment,-62.90,Posted
2024-06-17,"Carestream Dental","CARESTREAM DENTAL LLC    800-944-6365 GA",Dentist,-52.43,Posted
2024-06-17,"CITGO","TOWNSEND CITGO           TOWNSEND     TN",Gas,-51.30,Posted
2024-06-17,"Goshine Express Ridgela","GOSHINE EXPRESS RIDGELA  RIDGELAND    MS",Service & Parts,-20.00,Posted
2024-06-17,"Eagle Mart","EAGLE MART               CLEVELAND    TN",Gas,-3.93,Posted
2024-06-14,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2160",Credit Card Payment,-399.87,Posted
2024-06-14,"Transfer to Venmo","VENMO            PAYMENT    ***********4216",Transfer,-86.65,Posted
2024-06-13,"Shopify","SHOPIFY INC.     IAT PAYPAL ***********9169",Shopping,-41.73,Posted
2024-06-13,"Scribehow.com","HTTPS://SCRIBE.HOW/B     SCRIBEHOW.COMCA",Electronics & Software,-29.00,Posted
2024-06-13,"Transfer from Venmo","VENMO            CASHOUT    ***********7541",Transfer,178.00,Posted
2024-06-12,"Transfer to Venmo","VENMO            PAYMENT    ***********7948",Transfer,-250.00,Posted
2024-06-12,"Credit Card Payment","CARDMEMBER SERV  WEB PYMT   ***********7177",Credit Card Payment,-198.19,Posted
2024-06-12,"Transfer to Venmo","VENMO            PAYMENT    ***********0555",Transfer,-18.00,Posted
2024-06-12,"Walgreens","WALGREENS STORE 1100 HI  MADISON      MS",Pharmacy,-13.90,Posted
2024-06-12,"Transfer from Venmo","VENMO            CASHOUT    ***********7864",Transfer,474.00,Posted
2024-06-11,"Transfer to Venmo","VENMO            PAYMENT    ***********2593",Transfer,-27.00,Posted
2024-06-11,"Transfer to Venmo","VENMO            PAYMENT    ***********5602",Transfer,-14.00,Posted
2024-06-10,"Discover Credit Card","DISCOVER         E-PAYMENT  ***********2160",Credit Card Payment,-1666.28,Posted
2024-06-10,"Pass Sales","VB PASS SALES 01800730   ORLANDO      FL",Entertainment,-106.50,Posted
2024-06-10,"K Pot Korean Bbq","TST* K-POT KOREAN BBQ A  ORLANDO      FL",Restaurants,-78.40,Posted
2024-06-10,"Tom Thumb","TOM THUMB 5100 S FERDO   CRESTVIEW    FL",Gas,-47.82,Posted
